title
question,anser,take1,...,takeN
SEA/J 模擬問題０２
パスワードクラックの方法として該当しないものはどれか,1,DoS攻撃,辞書攻撃,総当たり攻撃,ソーシヤルエンジニアリング攻撃
DoS攻撃の説明として適切なものはどれか,2,DOSというOS(オペレーティングシステム)を使用した攻撃,大量のパケットや処理できない不正なパケットを送りつけ、ネットワークサービスを利用できなくしてしまう攻撃,プログラムの不具合を悪用し、不正なコードを送信することで相手のOSを乗っ取る攻撃,不正な手段でパスワードを解析する攻撃
ネットワークでの盗聴によって引き起こされる問題はどれか,1,機密性が損なわれる,完全性が損なわれる,可用性が損なわれる,真正性が損なわれる
特定のサーバやネットワークに対して、過大な負荷をかけることにより、サービス提供を停止させたりする攻撃手法はどれか,2,パケットフィルタリング,DoS攻撃,総当たり攻撃,ソーシャルエンジニアリング
次のうちファイルやディレクトリに対し、アクセス制限がかけられないファイルシステムはどれですか。,1,FAT,NTFS,ext3,UFS
Whoisデータベースから入手できる情報として該当しないものはどれか,2,DNSサーバのlPアドレス,利用しているプロパイダの情報,メールサーバのIPアドレス,ドメイン管理者名の連絡先
ファイアウォールの説明として適切ではないものはどれか,3,許可されたユーザやノードが許可された範囲内でアクセスできるように制御する,アプライアンスだけではなく、OSのネットワーク機能によっても実装できる,不正アクセスの検知を行える,ファイアウォールは内部LANでも使用する
ファイアウォールのアクセスコントロールの種類であるサーキットレベルゲートウェイはOSI基本参照モデルにおいてどの層での制御を行っているか,3,データリンク層,ネットワーク層,トランスポート層,アプリケーション層
ファイアウォールのアクセスコントロールの種類でないものはどれか,3,サーキットレベルゲートウェイ,パケットフィルタリング,スパイウェア,アプリケーションゲートウェイ
「TrustedOS」「セキュアOS」ではどのアクセス制御を用いますか。,1,強制アクセス制御,任意アクセス制御,評価アクセス制御,準拠アクセス制御
ファイアウォールの導入や設計に関する説明として最も適切なものはどれか,1,アクセス制御ポリシーは許可すべき通信だけを定義し、それ以外は禁止するように設定することが望ましい,ファイアウォールのログは非常に大きいが、1日に1度は全てのログに目を通すべきである,DMZはファイアウォールの機能の一つであり、ファイアウォールの導入にあたっては必ず設ける必要がある,ファイアウォールのログはその日に確認しなければ意味が無いので、定期監査はあまり意味を持たない
IDSの導入目的として、最も適切なものはどれか,2,不正アクセスを防御する,不正アクセスを検知する,改ざんされたファイルの検知及び修正,パケットフィルタリングによるアクセスコントロールの実施
ネットワーク型IDS(NIDS)の説明として適切でないものはどれか,1,システム上に保存されるログを解析するためにリアルタイムで不正アクセスを検知できない,ローカル端末内で完結してしまう不正アクセス(コンソール上からのハッキング、ローカルDoS、ローカルバッファーオーバーフロー)は検知できない,暗号化された通信上で行われる不正アクセスは検知できない,スイッチングHubのミラーポートを利用した場合、同セグメント内の全ての不正アクセスを監視できる
アプリケーションゲートウェイの説明として適切でないものはどれか,2,Proxyサーバ(代理サーバ)として広く普及,パケットフィルタリングに比べて高速,アプリケーションプロトコルの内容に基づいた処理が可能,IPアドレスの共有やクライアントの隠蔽
次の認証プロトコルでクリアテキストで認証情報が送受信されるのはどれですか。,3,Kerberos,CHAP,PAP,NTLM
IDS運用時の留意点の説明として、適切でないものはどれか,3,検知されたIDSのイベントへ的確に対応できるようIDSの管理者は常にセキュリティ情報に精通しておく,IDSのソフトウェアのバージョンは常に最新にしておく,IDSがシステムを強化してくれるため個々のシステムへのメンテナンス(パッチあて、バージョンアップ)は行わなくて良い,IDSは不正アクセスを検知することが目的である為、IDSを導入することにより個々のシステムが強化されるわけではない。
DNSで考えられる脅威として当てはまらないものはどれか,1,盗聴,キャッシュの改ざん,不正なゾーン転送要求,DoS攻撃
メールサーバに対する脅威として当てはまらないものはどれか,1,SQLインジェクション,不正中継,ウイルス感染,スパムメール
SMTPサーバを踏み台にして利用する理由として適切なのはどれか,1,スパムメールなどを送信する際に自分の正体を隠す為,メールを送信する際の認証、暗号化の為,IPアドレスを共有し、インターネットのアクセスする為,メールの添付のウイルスチェックの為
オブジェクト指向プログラミングの三大要素は次のうち、どれですか。,1,カプセル化、継承、ポリモーフィズム,カプセル化、隠蔽、ポリモーフィズム,カプセル化、再利用、ポリモーフィズム,カプセル化、高速化、ポリモーフィズム
Webサービスを利用する上での注意点やセキュリティ対策に関する説明として最も適切なものはどれか,2,Webアプリケーションの脆弱性による脅威を回避するためにはブラウザを常に最新状態にしておく必要がある,Basic認証では、パスワードは暗号化されていない,ブラウザのセキュリティレベルを上げることで不正プログラムのダウンロードを防ぐ,CookieやセッションlDを用いることでなりすましを防ぐ
OSのサービス管理の説明として適切でないものはどれか,1,サービスとはユーザにより実行されるアプリケーションの事である,Windowsの「サービス」では、起動や停止を指定するだけではなく、無効にして手動でも実行ができないように設定することができる,UNIXではサービスの起動と停止の方法はOSごとに異なるが、多くの場合はスクリプトを使用する,システム上で稼働しているサービスの確認方法はOSごとに用意されている
OSのファイルシステムに関する説明として適切でないものはどれか,4,ファイルの所有者やアクセス権の情報を持つファイルシステムでは、これらの情報によってアクセスコントロールが行える,Windowsのファイルシステムである「FAT」はアクセス権の情報を持たないので「NTFS」を利用することが望ましい,UNIXで使用するファイルシステムは所有者やアクセス権の情報を持つ,ファイルシステムのアクセス権はネットワーク経由のアクセスには関係ないのでネットワーク経由でのアクセス権を別途設定しなければならない
UNIXコンソールにおいて、rootアカウントで使用する際にプロンプトので末尾に記載されている記号はどれか,1,#,$,%,@
アンチウィルスソフトでパターンマッチングの検知方法に使われるデータベースをなんといいますか。,1,ウィルス定義ファイル,ルールベース定義ファイル,ヒューリスティック定義ファイル,ビヘイビア定義ファイル
修正プログラムやログなどの管理に関する説明として適切でないものはどれか,1,プログラムの不具合に関する情報が報告されたら、即座に修正プログラムの適用を行う,UNIXでは修正プログラムの適用方法はディストリビューションごとに違う,ログファイルは一定期間、管理保管する必要がある,UNIXでは「Syslog」、Windowsでは「イベントビューア」によってログの管理が行える
ログファイルの利用方法として適切でないものはどれか,2,インシデントへの対応,ログインの抑制,不正の兆候の検知,フォレンジック
ユーザを表す「ID」と本人しか知らない記憶、知識との組み合わせで確認する認証方式はどれか,2,バイオメトリクス認証,パスワード認証,デバイス認証,ワンタイムパスワードによる認証
パスワード認証の設定上の注意点として適切でないものはどれか,1,アルファベットのみを使用する,定期的に更新する,アカウント名とパスワードは同一にしない,以前使ったパスワードは再使用しない
アクセス権がシステムによって決定される制御方式はどれか,2,任意アクセス制御(DAC),強制アクセス制御(MAC),役割に基づくアクセス制御(RB AC),ポリシーに基づくアクセス制御
パスワード認証の運用上の注意点として適切でないものはどれか,2,パスワードは一定文字数以上のものを使用する,パスワードを共有する場合は限られた管理者のみに限定する,アカウント名とパスワードは同ーのものを使用しない,デフォルトのパスワードは使用しない
RASや無線LANなど一つの認証情報を複数の認証サーバで共有できる認証の仕組みはどれか,3,Kerberos,802.1X,RADIUS,NTLM
シングルサインオンを実装するために用いるプロトコルとして適切なものはどれか,3,RADIUS,802.1X,Kerberos,CHAP
プログラム言語であるCの説明として適切なものはどれか,1,システム(0S等)の記述用に開発された,HTML拡張として利用される,オブジェクト指向である,インタプリタ形式のスクリプト言語である
バッファーオーバーフローの説明として最も適切なものはどれか,3,仮想メモリが確保している容量以上のデータが入力されること,実メモリが確保している容量以上のデータが入力されること,メモリ上のバッファが確保している容量以上のデータが入力されること,HDDのバッファが確保している容量以上のデータが入力されること
オブジェクト指向プログラミングで実現できることは何か,2,プログラムのGUI化,データの隠蔽,なりすましの防止,トンネリング
オブジェクト指向プログラミングの特徴である3つの要素以外のものはどれか,3,継承,カプセル化,マークアップ,ポリモーフィズム
不正プログラムの感染経路についての説明として適切でないものはどれか,3,HTMLメールではWeb利用での感染と同じ要因が考えられる,Webではエラー画面を装いユーザをだましActiveXコードをダウンロードさせるものもある,電子メールやWebブラウザを使用していなければ、感染は仕組み上あり得ない,あらゆる感染経路においても、詐欺や、人為的なミスによる不正プログラムの実行は大きな要因といえる
不正プログラムの動作とそれに対する対応についての説明として当てはまらないものはどれか,4,ウイルス対策ソフトを強制終了してしまうことがある。この様な不正プログラムにはウイルス対策ソフトの集中管理システムを使用することが効果がある,hostsファイルを書き換えて不正な"Vebサイトへ誘導してしまう。この様な不正プログラムへの対応のーっとしてhostsファイルを使用していないのであれば、寄き込み禁止にしておく,メールサーバ(SMTPサーバ)として動作し、スパムメールの踏み台として利用されてしまう。この様な不正プログラムにはパケットフィルタは効果がある,不正にインストールされたプログラムが外部からの指示でDoS攻撃を行う。この様なプログラムはログインしていなければ動作しない
プログラムファイルの実行前にコードからそのプログラムの動作を分析し、不正な動作かどうかで不正プログラムを検知する方法をなんと呼ぶか,3,パターンマッチング,ビヘイビア(ジェネリック),ヒューリスティック,異常検知
不正プログラムの検知方法に関する説明として適切なものはどれか,2,パターンマッチングでは定義ファイルだけに頼らない検知方法である,ビヘイビアによる検知方法はまだ発見されていない不正プログラムを検出するために用いられる,ビヘイビアは定義ファイルを用いて検出する,ヒューリスティックは既知のウイルス検出に用いられる
対称鍵暗号(共通鍵暗号)による暗号化通信をインターネットで利用する際、どのような点に問題があるか,4,問題はない,公開鍵と秘密鍵のうち、公開鍵がの改ざんを防ぐための方法,公開鍵と秘密鍵のうち、秘密鍵を誰にも知られないように保管する方法,暗号化に用いる鍵データを送信者が誰にも知られることなく受信者に渡す方法
共通鍵暗号のアルゴリズムはどれか,2,CHAP,AES,RSA,MD5
共通鍵暗号方式での問題点はどれか,4,暗号化、復号の処理時間,鍵長,システムへの負荷,鍵交換
インターネット上の脅威の中で、電子署名と関係がないものはどれか,4,改ざん,盗聴,否認,ウイルス
ハッシュの説明として適切なものはどれか,3,ハッシュ値から一定の法則で元の平文を求めることができる,ハッシュ値の長さは元の平文の大きさに依存する,同じ平文からは同じハッシュ値が求められるが、わずかな違いに対しても大きく異なるハッシュ値となる,ハッシュとは復号アルゴリズムの一つである
ハッシュアルゴリズムはどれか,4,RSA,W3C,WPA,MD5
公開鍵暗号方式による電子署名に関する説明として適切なものはどれか,1,秘密鍵が第三者に知られてはいけない,電子署名の技術は秘密鍵で暗号化を行うので機密性も確保される,電子署名データは元の平文とデータサイズが同じである,インターネットにおける電子署名の利用では内容の秘匿性を高めるために暗号化を行う
電子証明書に含まれないデータはどれか,2,申請者の公開鍵,申請者の秘密鍵,申請者の情報,認証局の署名
電子証明書の説明として適切なものをはどれか,4,JISで認定された機関が発行するデータ,アナログデータではなく、デジタルデータであることを示すデータ,暗号化通信を行うための暗号鍵のデータ,添付された公開鍵が電子証明書の申請者のものであることを証明するデータ
認証局の役割として適切でないものはどれか,3,電子証明書の発行,電子証明書の申請者の実在確認,電子証明書の利用,失効した証明書の管理
PKIの構成要素として含まれないものはどれか,4,電子署名法,公開鍵暗号技術,電子証明書,ネットワーク
メールメッセージを暗号化し、利用者相互の署名で検証を行う「信頼の輪」の方式を行っているプロトコルはどれか,3,SSH,SSL/TLS,PGP,S/MIME
セキュリティプロトコルの説明として適切でないものはどれか,4,PGPやS/MIMEはメールデータの暗号化を行う,SSHはトランスポート層より上の層で実装されるプロトコルである,SSLは相手の認証や鍵交換を行うため、公開鍵の取得が必要になる,IPsecは機能の一部として、SSLによる暗号化と認証が利用できる
SSLプロトコルについて適切でないものはどれか,4,SSLはアプリケーション層とは独立している,SSLでは複数の暗号技術を利用している,SSLを利用したHTTPプロトコルをぽHTTPSと呼ぶ,SSLはHTTPプロトコルと一緒にしか利用できない
電気工学、電子工学、および関連した技術を扱う国際的な標準化団体はどれか,2,ITU,IEC,IETF,OECD
日本国内で製造・使用されるさまざまな鉱・工業製品などの国家規格はどれか,1,JIS,ISO,IEC,W3C
出版物の保護、盗作への罰則などに関する取り決めを定めた法律はどれか,4,高度情報処理ネットワーク社会形成基本法,特許法,意匠法,著作権法
情報セキュリテイマネジメントの要求事項の国際標準規格はどれか,3,ISO/IEC17799(ISO/IEC27002),ISO/IEC15408,JSO/JEC27001,ISO/IEC13335
「不正アクセス行為の禁止等に関する法律」により処罰の対象となる行為はどれか,1,他人のIDおよびパスワードを入力した,同僚がパソコン上で作成しているデータを背後からのぞき見た,サーバ上の共有ファイルを誤って消去してしまった,パソコンショップに展示してあるパソコンにパスワードを設定した
個人情報を取り扱う業者の義務でないものはどれか,3,個人情報の利用目的の特定、利用目的外利用の制限,苦情の申し立ての処理,データベースの構造提示,個人データの安全管理措置
